id,ch1,ch2,ch3,ch4,ch5
50,-389.6484375,-346.6796875,-308.59375,-413.57421875,292.96875
51,-270.5078125,-314.94140625,-322.75390625,-328.125,254.39453125
52,-230.95703125,-318.84765625,-359.86328125,-387.20703125,488.28125
53,-222.16796875,-332.51953125,-314.453125,-311.5234375,-4.8828125
54,-279.296875,-357.91015625,-358.88671875,-371.58203125,-153.80859375
55,-343.26171875,-307.12890625,-436.5234375,-385.7421875,-628.90625
56,-188.96484375,-280.76171875,-372.55859375,-294.43359375,393.5546875
57,-202.1484375,-316.40625,-325.68359375,-175.29296875,-231.4453125
58,-168.45703125,-256.34765625,-252.44140625,-101.07421875,64.94140625
59,-227.5390625,-270.5078125,-311.5234375,-209.9609375,337.890625
60,-200.1953125,-285.15625,-308.59375,-227.05078125,-162.59765625
61,-201.171875,-334.9609375,-345.703125,-305.17578125,-394.53125
62,-212.890625,-316.89453125,-355.95703125,-276.3671875,-682.12890625
63,-336.9140625,-269.04296875,-268.5546875,-319.82421875,-492.1875
64,-280.76171875,-327.63671875,-310.05859375,-339.84375,546.38671875
65,-337.890625,-288.57421875,-299.31640625,-357.91015625,479.00390625
66,-426.26953125,-292.48046875,-258.30078125,-376.46484375,194.82421875
67,-357.91015625,-311.03515625,-193.84765625,-296.875,109.375
68,-267.578125,-301.7578125,-231.4453125,-169.921875,159.66796875
69,-233.88671875,-254.8828125,-215.8203125,-153.3203125,-403.80859375
70,-196.77734375,-223.6328125,-187.98828125,-124.0234375,-256.34765625
71,-185.05859375,-250.48828125,-236.81640625,-183.10546875,158.69140625
72,-261.71875,-336.42578125,-271.484375,-254.8828125,-311.03515625
73,-218.26171875,-300.78125,-331.54296875,-203.125,-218.26171875
74,-304.6875,-270.99609375,-314.94140625,-228.515625,-80.56640625
75,-259.765625,-299.31640625,-286.62109375,-193.84765625,-404.78515625
76,-269.53125,-303.22265625,-320.80078125,-227.05078125,83.984375
77,-214.35546875,-286.1328125,-336.42578125,-224.12109375,112.3046875
78,-240.234375,-346.19140625,-352.5390625,-199.21875,272.4609375
79,-248.53515625,-351.5625,-368.65234375,-302.734375,-456.0546875
80,-289.0625,-260.7421875,-356.93359375,-355.95703125,223.6328125
81,-345.21484375,-299.8046875,-446.77734375,-472.16796875,508.7890625
82,-248.53515625,-288.57421875,-370.60546875,-278.80859375,51.7578125
83,-178.22265625,-311.03515625,-338.37890625,-302.734375,886.23046875
84,-104.98046875,-388.18359375,-329.1015625,-246.09375,-181.640625
85,-94.7265625,-361.328125,-304.6875,-250.9765625,498.53515625
86,-51.7578125,-318.84765625,-319.3359375,-173.33984375,-1339.35546875
