id,lsl_ts,unix_ts,ch1,ch2,ch3,ch4,ch5
896317,14924.229286360138,1671630153.403,-21.484375,-27.34375,-30.76171875,-23.4375,36.1328125
896317,14924.230971326826,1671630153.403,-21.484375,-27.34375,-30.76171875,-23.4375,36.1328125
896318,14924.234969551553,1671630153.403,-27.34375,-30.2734375,-34.66796875,-27.34375,-169.43359375
896318,14924.236689327667,1671630153.403,-27.34375,-30.2734375,-34.66796875,-27.34375,-169.43359375
896319,14924.23840910378,1671630153.403,-35.15625,-33.69140625,-39.55078125,-21.484375,-196.2890625
896319,14924.240128879894,1671630153.403,-35.15625,-33.69140625,-39.55078125,-21.484375,-196.2890625
896320,14924.241848656007,1671630153.403,-32.2265625,-32.71484375,-36.62109375,-17.578125,141.11328125
896320,14924.24356843212,1671630153.403,-32.2265625,-32.71484375,-36.62109375,-17.578125,141.11328125
896321,14924.245288208234,1671630153.403,-29.78515625,-30.76171875,-31.25,-21.484375,193.359375
896321,14924.247007984348,1671630153.403,-29.78515625,-30.76171875,-31.25,-21.484375,193.359375
896322,14924.248727760461,1671630153.403,-39.55078125,-27.34375,-31.73828125,-31.25,25.390625
896322,14924.250447536575,1671630153.403,-39.55078125,-27.34375,-31.73828125,-31.25,25.390625
896323,14924.252167312688,1671630153.403,-37.109375,-28.3203125,-34.66796875,-35.15625,-64.453125
896323,14924.253887088802,1671630153.403,-37.109375,-28.3203125,-34.66796875,-35.15625,-64.453125
896324,14924.255606864916,1671630153.403,-26.85546875,-28.80859375,-27.34375,-15.625,198.73046875
896324,14924.257326641029,1671630153.403,-26.85546875,-28.80859375,-27.34375,-15.625,198.73046875
896325,14924.259046417143,1671630153.403,-31.73828125,-29.78515625,-25.390625,-15.625,227.5390625
896325,14924.260766193256,1671630153.403,-31.73828125,-29.78515625,-25.390625,-15.625,227.5390625
896326,14924.26248596937,1671630153.403,-31.25,-33.69140625,-27.83203125,-19.53125,-142.08984375
896326,14924.264205745483,1671630153.403,-31.25,-33.69140625,-27.83203125,-19.53125,-142.08984375
896327,14924.265925521597,1671630153.403,-25.390625,-33.203125,-29.296875,-15.13671875,-119.140625
896327,14924.26764529771,1671630153.403,-25.390625,-33.203125,-29.296875,-15.13671875,-119.140625
896328,14924.27210524291,1671630153.461,-27.83203125,-31.25,-32.2265625,-25.87890625,-19.53125
896328,14924.273844201176,1671630153.461,-27.83203125,-31.25,-32.2265625,-25.87890625,-19.53125
896329,14924.275583159442,1671630153.461,-20.01953125,-28.3203125,-30.76171875,-16.11328125,-65.4296875
896329,14924.277322117709,1671630153.461,-20.01953125,-28.3203125,-30.76171875,-16.11328125,-65.4296875
896330,14924.279061075975,1671630153.461,-21.97265625,-25.390625,-32.2265625,-14.16015625,-157.2265625
896330,14924.280800034241,1671630153.461,-21.97265625,-25.390625,-32.2265625,-14.16015625,-157.2265625
896331,14924.282538992507,1671630153.461,-30.2734375,-28.3203125,-37.109375,-17.578125,-91.30859375
896331,14924.284277950774,1671630153.461,-30.2734375,-28.3203125,-37.109375,-17.578125,-91.30859375
896332,14924.28601690904,1671630153.461,-24.90234375,-25.87890625,-36.1328125,-20.5078125,18.5546875
896332,14924.287755867306,1671630153.461,-24.90234375,-25.87890625,-36.1328125,-20.5078125,18.5546875
896333,14924.289494825573,1671630153.461,-25.390625,-27.83203125,-38.57421875,-23.92578125,9.765625
896333,14924.291233783839,1671630153.461,-25.390625,-27.83203125,-38.57421875,-23.92578125,9.765625
896334,14924.292972742105,1671630153.461,-30.2734375,-30.2734375,-40.0390625,-21.484375,-93.26171875
896334,14924.294711700371,1671630153.461,-30.2734375,-30.2734375,-40.0390625,-21.484375,-93.26171875
896335,14924.296450658638,1671630153.461,-32.71484375,-30.76171875,-36.1328125,-14.16015625,2.9296875
896335,14924.298189616904,1671630153.461,-32.71484375,-30.76171875,-36.1328125,-14.16015625,2.9296875
896336,14924.29992857517,1671630153.461,-25.390625,-31.73828125,-34.66796875,-5.859375,233.3984375
896336,14924.301667533437,1671630153.461,-25.390625,-31.73828125,-34.66796875,-5.859375,233.3984375
896337,14924.303406491703,1671630153.461,-20.01953125,-27.34375,-33.69140625,-8.30078125,-11.71875
896337,14924.30514544997,1671630153.461,-20.01953125,-27.34375,-33.69140625,-8.30078125,-11.71875
896338,14924.320594315375,1671630153.461,-23.92578125,-24.90234375,-32.71484375,-12.6953125,-147.94921875
896338,14924.322836448733,1671630153.461,-23.92578125,-24.90234375,-32.71484375,-12.6953125,-147.94921875
896339,14924.325078582091,1671630153.461,-25.87890625,-25.87890625,-27.34375,-14.6484375,-73.2421875
896339,14924.327320715449,1671630153.461,-25.87890625,-25.87890625,-27.34375,-14.6484375,-73.2421875
896340,14924.329562848807,1671630153.494,-26.3671875,-29.78515625,-29.78515625,-14.16015625,-58.59375
896340,14924.331804982165,1671630153.494,-26.3671875,-29.78515625,-29.78515625,-14.16015625,-58.59375
896341,14924.334047115522,1671630153.494,-29.78515625,-34.1796875,-34.66796875,-17.08984375,-121.09375
896341,14924.33628924888,1671630153.494,-29.78515625,-34.1796875,-34.66796875,-17.08984375,-121.09375
896342,14924.338531382238,1671630153.494,-25.390625,-29.78515625,-34.1796875,-13.671875,-126.953125
896342,14924.340773515596,1671630153.494,-25.390625,-29.78515625,-34.1796875,-13.671875,-126.953125
896343,14924.343015648954,1671630153.494,-23.4375,-24.90234375,-33.69140625,-19.04296875,-53.7109375
896343,14924.345257782312,1671630153.494,-23.4375,-24.90234375,-33.69140625,-19.04296875,-53.7109375
896344,14924.34749991567,1671630153.494,-28.3203125,-24.4140625,-32.2265625,-24.90234375,-71.77734375
896344,14924.349742049028,1671630153.494,-28.3203125,-24.4140625,-32.2265625,-24.90234375,-71.77734375
896345,14924.351984182385,1671630153.494,-23.4375,-21.97265625,-28.3203125,-22.94921875,-117.67578125
896345,14924.354226315743,1671630153.494,-23.4375,-21.97265625,-28.3203125,-22.94921875,-117.67578125
896346,14924.356468449101,1671630153.494,-18.06640625,-23.92578125,-29.296875,-25.390625,-48.828125
896346,14924.358710582459,1671630153.494,-18.06640625,-23.92578125,-29.296875,-25.390625,-48.828125
896347,14924.360952715817,1671630153.494,-21.484375,-30.2734375,-36.1328125,-17.578125,307.12890625
896347,14924.363194849175,1671630153.494,-21.484375,-30.2734375,-36.1328125,-17.578125,307.12890625
896348,14924.351025330961,1671630153.494,-22.94921875,-28.80859375,-32.71484375,-2.9296875,423.828125
896348,14924.3523214244,1671630153.494,-22.94921875,-28.80859375,-32.71484375,-2.9296875,423.828125
896349,14924.353617517838,1671630153.494,-20.5078125,-22.94921875,-30.76171875,-12.6953125,-8.7890625
896349,14924.354913611276,1671630153.494,-20.5078125,-22.94921875,-30.76171875,-12.6953125,-8.7890625
896350,14924.356209704714,1671630153.494,-22.4609375,-24.4140625,-34.66796875,-21.97265625,-107.91015625
896350,14924.357505798152,1671630153.494,-22.4609375,-24.4140625,-34.66796875,-21.97265625,-107.91015625
896351,14924.35880189159,1671630153.494,-30.76171875,-24.90234375,-35.64453125,-24.90234375,-39.55078125
896351,14924.360097985029,1671630153.494,-30.76171875,-24.90234375,-35.64453125,-24.90234375,-39.55078125
896352,14924.361394078467,1671630153.571,-32.71484375,-23.92578125,-36.62109375,-26.3671875,-107.421875
896352,14924.362690171905,1671630153.571,-32.71484375,-23.92578125,-36.62109375,-26.3671875,-107.421875
896353,14924.363986265344,1671630153.571,-32.71484375,-26.3671875,-41.9921875,-22.94921875,-169.921875
896353,14924.365282358782,1671630153.571,-32.71484375,-26.3671875,-41.9921875,-22.94921875,-169.921875
896354,14924.36657845222,1671630153.571,-34.1796875,-30.2734375,-46.38671875,-25.390625,-120.1171875
896354,14924.367874545658,1671630153.571,-34.1796875,-30.2734375,-46.38671875,-25.390625,-120.1171875
896355,14924.369170639096,1671630153.571,-30.2734375,-25.390625,-42.96875,-24.90234375,-51.26953125
896355,14924.370466732535,1671630153.571,-30.2734375,-25.390625,-42.96875,-24.90234375,-51.26953125
896356,14924.371762825973,1671630153.571,-30.2734375,-21.484375,-42.96875,-24.90234375,-96.19140625
896356,14924.373058919411,1671630153.571,-30.2734375,-21.484375,-42.96875,-24.90234375,-96.19140625
896357,14924.37435501285,1671630153.571,-30.2734375,-30.2734375,-40.52734375,-27.83203125,-126.953125
896357,14924.375651106287,1671630153.571,-30.2734375,-30.2734375,-40.52734375,-27.83203125,-126.953125
896358,14924.402961324071,1671630153.571,-27.34375,-30.76171875,-36.62109375,-19.53125,139.16015625
896358,14924.405965637503,1671630153.571,-27.34375,-30.76171875,-36.62109375,-19.53125,139.16015625
896359,14924.408969950935,1671630153.571,-24.90234375,-26.85546875,-40.52734375,-20.01953125,406.73828125
896359,14924.411974264367,1671630153.571,-24.90234375,-26.85546875,-40.52734375,-20.01953125,406.73828125
896360,14924.414978577799,1671630153.571,-31.25,-25.87890625,-37.109375,-38.57421875,27.83203125
896360,14924.417982891231,1671630153.571,-31.25,-25.87890625,-37.109375,-38.57421875,27.83203125
896361,14924.420987204663,1671630153.571,-28.80859375,-22.94921875,-36.1328125,-30.76171875,-151.85546875
896361,14924.423991518095,1671630153.571,-28.80859375,-22.94921875,-36.1328125,-30.76171875,-151.85546875
896362,14924.426995831527,1671630153.571,-21.484375,-23.92578125,-39.0625,-20.01953125,9.27734375
896362,14924.43000014496,1671630153.571,-21.484375,-23.92578125,-39.0625,-20.01953125,9.27734375
896363,14924.433004458391,1671630153.571,-19.53125,-21.484375,-33.69140625,-12.20703125,-10.7421875
896363,14924.436008771823,1671630153.571,-19.53125,-21.484375,-33.69140625,-12.20703125,-10.7421875
896364,14924.439013085255,1671630153.597,-19.53125,-22.94921875,-31.25,-12.20703125,-93.26171875
896364,14924.442017398687,1671630153.597,-19.53125,-22.94921875,-31.25,-12.20703125,-93.26171875
896365,14924.44502171212,1671630153.597,-28.3203125,-28.3203125,-32.71484375,-22.94921875,-133.30078125
896365,14924.448026025551,1671630153.597,-28.3203125,-28.3203125,-32.71484375,-22.94921875,-133.30078125
896366,14924.451030338983,1671630153.597,-29.78515625,-25.390625,-37.109375,-22.94921875,-94.7265625
896366,14924.454034652415,1671630153.597,-29.78515625,-25.390625,-37.109375,-22.94921875,-94.7265625
896367,14924.457038965847,1671630153.597,-31.25,-26.3671875,-42.48046875,-25.87890625,2.9296875
896367,14924.46004327928,1671630153.597,-31.25,-26.3671875,-42.48046875,-25.87890625,2.9296875
896368,14924.447938459547,1671630153.597,-29.78515625,-30.2734375,-40.52734375,-31.73828125,-3.41796875
896368,14924.449067362913,1671630153.597,-29.78515625,-30.2734375,-40.52734375,-31.73828125,-3.41796875
896369,14924.45019626628,1671630153.597,-33.203125,-32.2265625,-40.52734375,-27.34375,18.5546875
896369,14924.451325169646,1671630153.597,-33.203125,-32.2265625,-40.52734375,-27.34375,18.5546875
896370,14924.452454073013,1671630153.597,-40.0390625,-33.69140625,-43.9453125,-23.4375,4.39453125
896370,14924.453582976379,1671630153.597,-40.0390625,-33.69140625,-43.9453125,-23.4375,4.39453125
896371,14924.454711879745,1671630153.597,-42.96875,-28.3203125,-39.55078125,-17.578125,-70.80078125
896371,14924.455840783112,1671630153.597,-42.96875,-28.3203125,-39.55078125,-17.578125,-70.80078125
896372,14924.456969686478,1671630153.597,-40.52734375,-26.85546875,-36.62109375,-21.484375,-64.453125
896372,14924.458098589845,1671630153.597,-40.52734375,-26.85546875,-36.62109375,-21.484375,-64.453125
896373,14924.459227493211,1671630153.597,-40.0390625,-31.25,-40.52734375,-33.203125,-110.83984375
896373,14924.460356396577,1671630153.597,-40.0390625,-31.25,-40.52734375,-33.203125,-110.83984375
896374,14924.461485299944,1671630153.597,-41.50390625,-37.59765625,-41.015625,-24.90234375,166.015625
896374,14924.46261420331,1671630153.597,-41.50390625,-37.59765625,-41.015625,-24.90234375,166.015625
896375,14924.463743106677,1671630153.597,-40.52734375,-37.59765625,-39.55078125,-26.3671875,493.65234375
896375,14924.464872010043,1671630153.597,-40.52734375,-37.59765625,-39.55078125,-26.3671875,493.65234375
896376,14924.46600091341,1671630153.656,-33.203125,-29.78515625,-41.015625,-39.0625,83.49609375
896376,14924.467129816776,1671630153.656,-33.203125,-29.78515625,-41.015625,-39.0625,83.49609375
896377,14924.468258720142,1671630153.656,-32.71484375,-27.83203125,-42.96875,-50.29296875,-135.25390625
896377,14924.469387623509,1671630153.656,-32.71484375,-27.83203125,-42.96875,-50.29296875,-135.25390625
896378,14924.475644155775,1671630153.656,-36.1328125,-25.390625,-43.9453125,-55.6640625,-145.99609375
896378,14924.47756475928,1671630153.656,-36.1328125,-25.390625,-43.9453125,-55.6640625,-145.99609375
896379,14924.479485362785,1671630153.656,-40.0390625,-24.4140625,-41.9921875,-57.12890625,-202.63671875
896379,14924.48140596629,1671630153.656,-40.0390625,-24.4140625,-41.9921875,-57.12890625,-202.63671875
896380,14924.483326569794,1671630153.656,-47.36328125,-26.3671875,-37.59765625,-61.5234375,-238.28125
896380,14924.4852471733,1671630153.656,-47.36328125,-26.3671875,-37.59765625,-61.5234375,-238.28125
896381,14924.487167776804,1671630153.656,-45.8984375,-30.2734375,-35.15625,-49.31640625,20.5078125
896381,14924.48908838031,1671630153.656,-45.8984375,-30.2734375,-35.15625,-49.31640625,20.5078125
896382,14924.491008983814,1671630153.656,-51.26953125,-32.2265625,-39.55078125,-47.8515625,210.44921875
896382,14924.492929587319,1671630153.656,-51.26953125,-32.2265625,-39.55078125,-47.8515625,210.44921875
